,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
19,2,Santos FC,EC Bahia,2,2,22,10,7,5,1,4,9,3,14,13,13,16,4,0
20,3,RB Bragantino,Botafogo FR,1,0,11,12,2,8,2,2,3,8,11,17,19,11,0,2
21,3,EC Juventude,Ceará SC,2,1,17,8,10,4,1,1,4,3,15,14,14,15,3,0
22,3,SE Palmeiras,SC Corinthians,2,0,13,8,7,5,1,3,1,3,18,17,17,18,3,0
23,3,CR Vasco da Gama,Sport Recife,3,1,10,18,4,5,2,3,1,10,13,10,11,14,0,1
24,3,EC Bahia,Mirassol FC,1,1,17,5,6,2,2,1,10,2,10,11,11,10,2,3
25,3,São Paulo FC,Cruzeiro EC,1,1,11,15,4,5,1,1,4,6,20,13,14,21,1,0
26,3,Fluminense FC,Santos FC,1,0,13,4,5,3,1,3,3,3,21,14,16,22,1,2
27,3,Atlético Mineiro,EC Vitória,2,2,34,9,10,3,2,8,16,3,10,8,8,10,2,0
28,4,Botafogo FR,São Paulo FC,2,2,23,14,9,6,2,6,9,4,4,11,11,4,1,2
29,4,Mirassol FC,Grêmio FBPA,4,1,11,16,3,4,5,2,2,7,16,12,12,16,1,0
30,4,Sport Recife,RB Bragantino,0,1,21,16,7,6,6,6,9,3,11,9,10,12,4,3
31,4,SC Corinthians,Fluminense FC,0,2,10,8,7,2,2,2,7,4,12,12,12,13,0,0
32,4,SC Internacional,SE Palmeiras,0,1,11,12,4,2,3,2,1,6,14,14,15,16,1,4
33,4,CR Flamengo,EC Juventude,6,0,18,4,6,2,1,2,6,0,12,14,14,12,0,1
34,4,Santos FC,Atlético Mineiro,2,0,11,16,4,8,4,3,3,6,17,10,11,18,0,4
35,4,EC Vitória,Fortaleza EC,2,1,15,9,3,5,3,6,5,5,8,15,15,10,4,4
36,4,Cruzeiro EC,EC Bahia,3,0,14,7,5,5,1,5,4,5,9,14,15,9,2,0
37,5,SC Corinthians,Sport Recife,2,1,17,10,9,7,1,2,5,4,12,11,11,12,4,0
38,5,CR Vasco da Gama,CR Flamengo,0,0,6,17,4,9,7,1,2,11,8,12,14,10,1,1
39,5,Grêmio FBPA,SC Internacional,1,1,8,14,4,5,4,2,3,7,14,13,14,14,1,1
40,5,EC Juventude,Mirassol FC,2,2,19,25,7,4,4,4,5,3,10,17,18,10,1,0
41,5,São Paulo FC,Santos FC,2,1,6,15,2,7,2,1,5,5,11,14,17,13,2,2
42,5,Atlético Mineiro,Botafogo FR,1,0,13,7,5,2,2,5,8,4,13,13,13,14,1,1
43,5,Fluminense FC,EC Vitória,1,1,11,7,6,0,2,4,6,4,13,12,12,14,1,1
44,5,Fortaleza EC,SE Palmeiras,1,2,13,6,7,1,1,3,8,2,12,11,12,13,1,4
45,5,RB Bragantino,Cruzeiro EC,1,0,20,12,10,5,3,5,4,9,12,16,17,13,1,1
46,5,EC Bahia,Ceará SC,1,0,13,10,8,5,2,3,3,4,18,14,14,18,5,1
47,6,SC Internacional,EC Juventude,3,1,13,4,3,2,0,4,9,2,8,16,17,8,4,5
48,6,Mirassol FC,Atlético Mineiro,2,2,20,16,7,9,4,4,9,7,5,11,11,5,1,3
49,6,Ceará SC,São Paulo FC,1,1,7,14,4,4,3,1,3,2,18,12,13,19,1,1
50,6,Sport Recife,Fortaleza EC,0,0,16,11,6,3,1,8,6,6,7,11,11,9,2,3
51,6,Botafogo FR,Fluminense FC,2,0,15,8,7,5,1,5,6,3,9,20,21,9,2,2
