,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
177,Fortaleza EC,Botafogo FR,0,5,9,21,3,5,7,1,2,8,12,8,8,12,1,1
178,EC Bahia,Fluminense FC,3,3,17,8,4,3,2,4,8,2,13,17,17,13,0,1
179,CR Vasco da Gama,Atlético Mineiro,1,1,15,17,8,7,3,3,6,10,9,10,10,9,0,2
180,SE Palmeiras,Ceará SC,2,1,8,7,3,2,3,3,3,3,10,7,8,12,5,3
181,Cruzeiro EC,Santos FC,1,2,19,9,10,5,0,3,15,3,10,17,17,12,2,3
182,Grêmio FBPA,Sport Recife,0,1,14,11,8,8,2,6,3,2,17,10,10,19,1,2
183,EC Juventude,SC Corinthians,2,1,12,11,5,6,2,2,3,2,10,21,22,12,1,1
184,Fluminense FC,Fortaleza EC,2,1,10,12,4,3,5,1,2,6,17,8,10,18,0,1
185,Ceará SC,RB Bragantino,1,0,10,9,4,6,2,3,3,4,15,23,23,16,2,1
186,EC Vitória,EC Juventude,2,2,18,13,7,4,2,2,4,6,14,8,9,14,2,3
187,Sport Recife,São Paulo FC,2,2,8,18,3,5,5,3,4,10,18,14,17,19,0,1
188,SC Corinthians,EC Bahia,1,2,24,7,12,1,3,7,9,1,20,12,15,21,6,1
189,Santos FC,CR Vasco da Gama,0,6,7,14,3,1,3,2,3,3,12,10,11,12,4,2
190,Atlético Mineiro,Grêmio FBPA,1,3,10,8,5,3,1,2,4,4,12,18,19,12,1,0
191,SC Internacional,CR Flamengo,1,3,14,16,5,6,0,5,10,5,7,11,12,8,1,3
192,Botafogo FR,SE Palmeiras,0,1,15,9,4,5,1,6,4,3,6,6,7,6,2,3
193,Mirassol FC,Cruzeiro EC,1,1,21,8,12,3,2,2,7,2,13,15,16,13,2,2
194,RB Bragantino,Fluminense FC,4,2,8,21,2,7,5,1,2,11,9,17,18,9,0,1
195,Cruzeiro EC,SC Internacional,2,1,15,4,5,1,2,5,5,1,17,10,10,18,0,3
